image,posttest,mean_liking,bins
1. Nattog - annonce 1.jpg,1.,3.4120553359683794,13
1. Nattog - annonce 2.jpg,1.,3.4120553359683794,13
1. Nattog - annonce 3.jpg,1.,3.4120553359683794,13
10. Ung - annonce 1.jpg,10.,3.267088607594937,11
10. Ung - annonce 2.jpg,10.,3.267088607594937,11
10. Ung - annonce 3.jpg,10.,3.267088607594937,11
100. Julekampagne - annonce 1.jpg,100.,3.656518861681006,18
100. Julekampagne - annonce 2.jpg,100.,3.656518861681006,18
101. Bæredygtighed - annonce.jpg,101.,3.5253036437246963,15
101. Bæredygtighed_Film_1.jpg,101.,3.5253036437246963,15
101. Bæredygtighed_Film_2.jpg,101.,3.5253036437246963,15
101. Bæredygtighed_Film_3.jpg,101.,3.5253036437246963,15
104_1. Sporarbejde Forburner #1 - SoMe.jpg,1.,3.4120553359683794,13
104_1. Sporarbejde Forburner #1_Film_1.jpg,1.,3.4120553359683794,13
104_1. Sporarbejde Forburner #1_Film_2.jpg,1.,3.4120553359683794,13
104_1. Sporarbejde Forburner #1_Film_3.jpg,1.,3.4120553359683794,13
104_2. Sporarbejde Forburner #2 - SoMe.jpg,2.,3.3919799498746865,13
104_2. Sporarbejde Forburner #2_Film_1.jpg,2.,3.3919799498746865,13
104_2. Sporarbejde Forburner #2_Film_2.jpg,2.,3.3919799498746865,13
104_2. Sporarbejde Forburner #2_Film_3.jpg,2.,3.3919799498746865,13
105. Udland den brede - annonce 1.jpg,105.,3.4707692307692306,14
105. Udland den brede - annonce 2.jpg,105.,3.4707692307692306,14
106. Den målrettede - kampagnebillede 1.jpg,106.,3.18801652892562,10
106. Den målrettede - kampagnebillede 2.jpg,106.,3.18801652892562,10
106. Den målrettede - kampagnebillede 3.jpg,106.,3.18801652892562,10
109. Rejsepas 2022 - annonce.jpg,109.,3.8096172718351324,20
109. Rejsepas 2022_Film_1.jpg,109.,3.8096172718351324,20
109. Rejsepas 2022_Film_2.jpg,109.,3.8096172718351324,20
109. Rejsepas 2022_Film_3.jpg,109.,3.8096172718351324,20
112. Erhvervskampagne Oktober 2022 - annonce 1.jpg,112.,3.274949083503055,11
112. Erhvervskampagne Oktober 2022 - annonce 2.jpg,112.,3.274949083503055,11
112. Studiestart_Film_1.jpg,112.,3.274949083503055,11
112. Studiestart_Film_2.jpg,112.,3.274949083503055,11
112. Studiestart_Film_3.jpg,112.,3.274949083503055,11
112. Studiestart_Film_4.jpg,112.,3.274949083503055,11
113. Erhvervskampagne Oktober 2022 - annonce 1.jpg,113.,3.5700404858299595,16
113. Erhvervskampagne Oktober 2022 - annonce 2.jpg,113.,3.5700404858299595,16
113. Erhvervskampagne Oktober 2022 - annonce 3.jpg,113.,3.5700404858299595,16
113. Erhvervskampagne Oktober 2022_Film_3.jpg,113.,3.5700404858299595,16
